k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
142,0.0154432177955215,0.0135048616904057,0.0122508201751969,142,0.0127962643042241
143,0.0137321444344665,0.0137960659380012,0.0123725980486439,143,0.0125612751903619
144,0.0124447925240071,0.012089129330526,0.0124818070053981,144,0.0122875186931222
145,0.0110010163542192,0.00974465596535277,0.0128011906280897,145,0.0117127777670665
146,0.0117489663127633,0.00972069807726817,0.0125003631453223,146,0.0125811584547499
147,0.0101093756644633,0.0100361310106619,0.012749454679152,147,0.0128236085595591
148,0.0149919066737541,0.0132414760685171,0.012474948068104,148,0.012453786737637
149,0.0135010696929396,0.0139864060345923,0.0124818100124951,149,0.0122926164317094
150,0.0157323812219362,0.0141095675887509,0.0126773464684247,150,0.0125700809138051
151,0.0109546139101339,0.0107702947649592,0.0128190165373511,151,0.012155812909902
152,0.0120853100973562,0.0119099494718147,0.0125038375804672,152,0.0120229502463715
153,0.0116723312995841,0.0117569535127653,0.0124443889492859,153,0.0122137863137777
154,0.0133224043641882,0.0128862556098088,0.0122025490791409,154,0.0116183895388796
155,0.0117888485437001,0.0118382284029097,0.0122671194778922,155,0.012124437836172
156,0.0128687669563769,0.012279380608795,0.0125246283797876,156,0.0122474794101612
157,0.0132900705089619,0.0132238178353115,0.0127390014043591,157,0.0124985549693925
158,0.0115814009046572,0.0119302300343292,0.0127132126954946,158,0.0131729287926371
159,0.0128509187328302,0.0128671148770243,0.0126735577649504,159,0.0131148300469272
160,0.014017070889695,0.0144733339976936,0.0127118072786454,160,0.0124214466318978
161,0.014254000193756,0.0144351821059476,0.0121294046269087,161,0.0125831742336559
162,0.0107532677341464,0.0111687362684539,0.0122044664668624,162,0.0125575553408737
163,0.0123494999810305,0.0118668831315186,0.0119757887678965,163,0.0127302544739127
164,0.0108381059773216,0.0105345428154672,0.0118038585562933,164,0.0128763019532841
165,0.0118576052948871,0.0113148874938499,0.0114229645735058,165,0.0124277592940234
166,0.0112693117225328,0.0118832058661672,0.011812088937956,166,0.0121180016364286
167,0.0117202315049741,0.0115210151806575,0.0118314852966796,167,0.0129013722857207
168,0.0122211333189668,0.0108198546801309,0.0120025382267884,168,0.0130715869437596
169,0.0126863302059593,0.0108872213495786,0.0121145448520298,169,0.0119481820975161
170,0.0127838461372875,0.0128628544212357,0.0125628911866257,170,0.0119619811834697
171,0.0125404179943785,0.0135972871233266,0.0130736855324974,171,0.0120841493745614
172,0.0113150065515592,0.0128320505225607,0.0132827254802044,172,0.012251134098485
173,0.0132730209231396,0.0142012552309492,0.013075692245668,173,0.012093156761701
174,0.0160552383061124,0.0160308279578864,0.0131396330518565,174,0.0121691224294118
175,0.0139683513795517,0.0127579896564085,0.0128594862887282,175,0.0127536181379931
176,0.0124570763849835,0.0120053033486195,0.0127030791679563,176,0.0125797938486456
177,0.0118751067246114,0.0113260999957981,0.0124011896820023,177,0.0120106000816694
178,0.0116944405850726,0.0112256044457354,0.0118661272459949,178,0.0127643726153111
179,0.0112444959742419,0.0114519262465508,0.0115251595264936,179,0.0126449438373507
180,0.00946933222795465,0.00930163703961875,0.0112954607087525,180,0.0125764411913006
181,0.0126830354836804,0.0114918360836366,0.0113801238314075,181,0.0120234278105555
182,0.0114803987886362,0.0122582056760834,0.0114352563281911,182,0.0120038989831849
183,0.0119696424001265,0.0116424882375317,0.0117003354855902,183,0.0125162824187414
184,0.0119168950133404,0.0123175813721865,0.0118980061227899,184,0.0116198951601558
185,0.0111415473727631,0.012480163949,0.0121168990846527,185,0.0115281292199588
186,0.0141451733547666,0.0142303871744034,0.0120840784067628,186,0.0117756934184321
187,0.0120418076042441,0.0128634051480047,0.0122634295310508,187,0.011650823237901
188,0.0113989413857208,0.0116837387088501,0.0121258103856746,188,0.0120635094901755
189,0.0133363954090975,0.012265448907458,0.0121911947703353,189,0.0124933139914909
190,0.0118300344238407,0.0127978293707387,0.0118782897376056,190,0.0122084612473308
191,0.0115889406038552,0.0120282677588164,0.0119636259562548,191,0.017198103728211
